game_id,period,gc_seconds,defender_id,defender_name,shooter_id,shooter_name,n_intrusion_episodes,max_episode_score,total_contact_frames,max_intrusion_depth,primary_joint,cvi_landing_space_flag,violation_type
22500785,1,50.9,1629026,Kenrich Williams,1642346,Ryan Dunn,3,0.0005,19,0.0833,j_lElbow,True,Crowding
22500785,1,17.3,1629599,Amir Coffey,1631096,Chet Holmgren,1,0.0,22,0.0853,j_rWrist,False,Clean
22500785,1,2.2,1631114,Jalen Williams,1629599,Amir Coffey,0,0.0,0,0.0,none,False,Clean
22500785,2,648.0,1628392,Isaiah Hartenstein,1631221,Collin Gillespie,1,0.0,2,0.0175,j_lElbow,False,Clean
22500785,2,581.0,1631096,Chet Holmgren,1642346,Ryan Dunn,1,0.0,3,0.0119,j_lWrist,False,Clean
22500785,2,397.0,1642272,Jared McCain,1628415,Dillon Brooks,0,0.0,0,0.0,none,False,Clean
22500785,2,392.0,1630198,Isaiah Joe,1626220,Royce O'Neale,1,0.0,3,0.1473,j_lShoulder,False,Clean
22500785,2,328.0,1628415,Dillon Brooks,1628392,Isaiah Hartenstein,0,0.0,0,0.0,none,False,Clean
22500785,2,162.0,1642346,Ryan Dunn,1631119,Jaylin Williams,3,0.0005,6,0.027,j_rWrist,True,Crowding
22500785,3,598.0,1628415,Dillon Brooks,1629652,Luguentz Dort,11,0.0002,35,0.189,j_lShoulder,True,Crowding
22500785,3,397.0,1628415,Dillon Brooks,1629652,Luguentz Dort,11,0.0002,35,0.189,j_lShoulder,True,Crowding
22500785,3,382.0,1631096,Chet Holmgren,1626220,Royce O'Neale,2,0.0,11,0.1005,j_lElbow,False,Clean
22500785,3,338.0,1631096,Chet Holmgren,1628415,Dillon Brooks,3,0.0,12,0.1413,j_rElbow,False,Clean
22500785,3,269.0,1631114,Jalen Williams,1628415,Dillon Brooks,3,0.0008,13,0.0795,j_rElbow,True,Crowding
22500785,3,60.0,1631123,Jamaree Bouyea,1630198,Isaiah Joe,5,0.0003,29,0.0593,j_lElbow,True,Crowding
22500785,4,570.0,1642346,Ryan Dunn,1631119,Jaylin Williams,2,0.0,17,0.0732,j_lWrist,False,Clean
22500785,4,447.0,1631119,Jaylin Williams,1642853,Rasheer Fleming,8,0.0,31,0.1714,j_lElbow,False,Clean
22500799,1,683.0,1629674,Neemias Queta,1630611,Gui Santos,15,0.0004,154,0.1193,j_rWrist,True,Crowding
22500799,1,307.0,1627759,Jaylen Brown,1630541,Moses Moody,9,0.0001,78,0.1421,j_lWrist,True,Crowding
22500799,1,84.0,202696,Nikola Vučević,1642954,Will Richard,2,0.0,11,0.0604,j_lWrist,False,Clean
22500799,2,682.0,204001,Kristaps Porziņģis,1630573,Sam Hauser,5,0.0,17,0.1075,j_lWrist,False,Clean
22500799,2,418.0,1642954,Will Richard,1627759,Jaylen Brown,2,0.0,6,0.0172,j_lWrist,False,Clean
22500799,2,237.0,1627759,Jaylen Brown,1642954,Will Richard,3,0.0001,9,0.0427,j_lWrist,True,Crowding
22500799,2,194.0,1627759,Jaylen Brown,1630611,Gui Santos,4,0.0004,38,0.0904,j_lElbow,True,Crowding
22500799,3,543.0,1630611,Gui Santos,1627759,Jaylen Brown,3,0.0,9,0.0221,j_lWrist,False,Clean
22500799,3,349.0,1628401,Derrick White,1629001,De'Anthony Melton,6,0.0,32,0.1706,j_lElbow,False,Clean
22500799,3,272.0,1627759,Jaylen Brown,1629001,De'Anthony Melton,6,0.0,50,0.1306,j_lElbow,False,Clean
22500799,3,248.0,1630541,Moses Moody,202696,Nikola Vučević,0,0.0,0,0.0,none,False,Clean
22500799,3,49.7,1630202,Payton Pritchard,1642954,Will Richard,7,0.0,42,0.1308,j_lElbow,False,Clean
22500799,4,602.0,1629001,De'Anthony Melton,1631248,Baylor Scheierman,7,0.0003,37,0.2405,j_neck,True,Crowding
22500799,4,273.0,1627759,Jaylen Brown,1630611,Gui Santos,9,0.0005,43,0.0777,j_lElbow,True,Crowding
22500799,4,121.0,202696,Nikola Vučević,1630611,Gui Santos,11,0.0018,48,0.1922,j_rKnee,True,Crowding
22500799,4,96.0,1629001,De'Anthony Melton,1627759,Jaylen Brown,14,0.0004,114,0.1497,j_lShoulder,True,Crowding
